Instance;method;variance level;Samples;replications;seed;deterministic cost;mean cost;sigma;ci95 lower;ci95 upper;mean recourse cost;reliability;mean failures;p95;cvar95;min cost;max cost;vehicle capacity;solution file
A-n32-k5;SAA;0.05;10;10000;1001;798.943362;799.571869;6.256435;799.449243;799.694495;0.628507;0.989100;0.010900;798.943362;799.571869;798.943362;952.631358;100.000000;results\A-n32-k5_1001_SAA_0.05_10_solution.txt
A-n32-k5;SAA;0.05;50;10000;1001;797.451290;798.012795;8.024981;797.855505;798.170084;0.561505;0.995000;0.005000;797.451290;798.012795;797.451290;948.620070;100.000000;results\A-n32-k5_1001_SAA_0.05_50_solution.txt
A-n32-k5;SAA;0.05;20;10000;1001;797.451290;798.091967;8.388750;797.927547;798.256386;0.640677;0.994100;0.005900;797.451290;798.091967;797.451290;948.620070;100.000000;results\A-n32-k5_1001_SAA_0.05_solution.txt
A-n32-k5;SAA;0.25;10;10000;1001;820.112622;841.748795;52.199347;840.725688;842.771902;21.636173;0.829100;0.183900;971.281402;985.104395;820.112622;1158.136954;100.000000;results\A-n32-k5_1001_SAA_0.25_10_solution.txt
A-n32-k5;SAA;0.25;50;10000;1001;851.044480;853.118671;11.077265;852.901556;853.335785;2.074190;0.964800;0.035400;851.044480;853.118671;851.044480;973.992882;100.000000;results\A-n32-k5_1001_SAA_0.25_50_solution.txt
A-n32-k5;SAA;0.25;20;10000;1001;807.948964;821.526405;40.636777;820.729924;822.322886;13.577441;0.886400;0.119500;932.528256;961.222396;807.948964;1231.231602;100.000000;results\A-n32-k5_1001_SAA_0.25_solution.txt
A-n32-k5;SAA;0.75;10;10000;1001;858.715993;873.324900;36.879689;872.602059;874.047742;14.608907;0.834700;0.172900;932.824022;954.103133;858.715993;1114.482390;100.000000;results\A-n32-k5_1001_SAA_0.75_10_solution.txt
A-n32-k5;SAA;0.75;50;10000;1001;892.029666;895.144851;17.247400;894.806802;895.482900;3.115185;0.962100;0.037900;892.029666;895.144851;892.029666;1068.313528;100.000000;results\A-n32-k5_1001_SAA_0.75_50_solution.txt
A-n32-k5;SAA;0.75;20;10000;1001;855.161341;883.499248;44.692649;882.623272;884.375224;28.337907;0.639400;0.396900;983.223825;1013.495872;855.161341;1152.953021;100.000000;results\A-n32-k5_1001_SAA_0.75_solution.txt
A-n32-k5;SE;0.05;;10000;1001;797.451290;798.002988;7.402353;797.857902;798.148074;0.551698;0.994300;0.005700;797.451290;798.002988;797.451290;901.220264;100.000000;results\A-n32-k5_1001_SE_0.05_solution.txt
A-n32-k5;SE;0.25;;10000;1001;797.451290;820.846712;49.892877;819.868812;821.824612;23.395422;0.785500;0.232200;922.030582;964.608997;797.451290;1240.772625;100.000000;results\A-n32-k5_1001_SE_0.25_solution.txt
A-n32-k5;SE;0.75;;10000;1001;851.044480;866.754727;31.871093;866.130054;867.379401;15.710247;0.779900;0.236500;925.152510;935.789400;851.044480;1096.359986;100.000000;results\A-n32-k5_1001_SE_0.75_solution.txt
A-n33-k5;SAA;0.05;10;10000;1001;676.104496;678.187404;7.675746;678.036959;678.337848;2.082908;0.899200;0.102700;691.724995;696.768265;676.104496;808.120229;100.000000;results\A-n33-k5_1001_SAA_0.05_10_solution.txt
