Instance;method;variance level;Samples;Expected cost;Time
A-n32-k5;SAA;0,05;10;799,67;223,08339953422546
A-n32-k5;SAA;0,05;50;797,92;3603,574527978897
A-n32-k5;SAA;0,05;20;798,04;154,71786308288574
A-n32-k5;SAA;0,25;10;841,77;2555,741406917572
A-n32-k5;SAA;0,25;50;852,99;3603,7015147209167
A-n32-k5;SAA;0,25;20;823,43;197,45576453208923
A-n32-k5;SAA;0,75;10;873,53;3603,885947227478
A-n32-k5;SAA;0,75;50;895,22;3603,670738697052
A-n32-k5;SAA;0,75;20;883,44;3601,379063844681
A-n32-k5;SE;0,05;20;797,84;675,3434963226318
A-n32-k5;SE;0,25;20;820,68;1470,1346983909607
A-n32-k5;SE;0,75;20;866,47;1470,7561881542206
A-n33-k5;SAA;0,05;10;678,19;3603,2241957187653
A-n33-k5;SAA;0,05;50;679,44;3603,668361902237
A-n33-k5;SAA;0,05;20;679,60;2545,6841702461243
A-n33-k5;SAA;0,25;10;705,29;3603,449744939804
A-n33-k5;SAA;0,25;50;719,12;3603,749915599823
A-n33-k5;SAA;0,25;20;704,92;3600,8497965335846
A-n33-k5;SAA;0,75;10;733,06;3603,960513353348
A-n33-k5;SAA;0,75;50;749,37;3603,5575330257416
A-n33-k5;SAA;0,75;20;714,27;3600,930887699127
A-n33-k5;SE;0,05;20;680,42;445,6281921863556
A-n33-k5;SE;0,25;20;692,83;278,1781415939331
A-n33-k5;SE;0,75;20;712,23;278,68077540397644
A-n33-k6;SAA;0,05;10;775,89;3603,8029775619507
A-n33-k6;SAA;0,05;50;765,87;3603,66637134552
A-n33-k6;SAA;0,05;20;770,83;3601,015465736389
A-n33-k6;SAA;0,25;10;775,90;3603,4424419403076
A-n33-k6;SAA;0,25;50;803,09;3603,766544342041
A-n33-k6;SAA;0,25;20;784,05;3601,538544654846
A-n33-k6;SAA;0,75;10;814,83;3603,5796060562134
A-n33-k6;SAA;0,75;50;850,62;3603,6957647800446
A-n33-k6;SAA;0,75;20;813,41;3601,0461752414703
A-n33-k6;SE;0,05;20;760,68;410,4568293094635
A-n33-k6;SE;0,25;20;773,17;668,9350774288177
A-n33-k6;SE;0,75;20;807,58;379,2320683002472
A-n37-k5;SAA;0,05;10;684,75;1740,1165261268616
A-n37-k5;SAA;0,05;50;689,29;3604,3562433719635
A-n37-k5;SAA;0,05;20;684,55;3600,773724794388
A-n37-k5;SAA;0,25;10;707,40;3603,78453207016
A-n37-k5;SAA;0,25;50;708,21;3604,262444257736
A-n37-k5;SAA;0,25;20;705,33;2617,5442740917206
A-n37-k5;SAA;0,75;10;724,64;3291,5872616767883
A-n37-k5;SAA;0,75;50;744,32;3604,2360112667084
A-n37-k5;SAA;0,75;20;726,51;3601,4816567897797
A-n37-k5;SE;0,05;20;687,78;338,8151180744171
A-n37-k5;SE;0,25;20;700,41;362,2990198135376
